Group,Score_Activation
Model,0.2737138464033537
Model,0.23817397599236223
Model,0.19503688725872315
Model,0.30357987426196453
Model,0.18277615979895276
Model,-0.04892436341032669
Model,0.16225463171866428
Model,0.01595854393747473
Model,0.0445369544502352
Model,0.14714778679004611
Model,0.18379195690686617
Model,0.24795940953619372
Model,0.22524855806676042
Model,0.33583814404082535
Model,0.19480086608873962
Model,-0.01932925922814819
Model,0.0
Model,-0.019021318110335233
Model,0.4988473806625758
Model,0.2244677931701592
Model,0.3088488953568066
Model,-0.11188736727405152
Model,-0.017942749138261164
Control,-0.048421091060574635
Control,0.36560776068879874
Control,0.4017572715263835
Control,0.2696513079746379
Control,0.20694488599281777
Control,0.18234950589761556
Control,0.11365321647363363
Control,0.06546594559681188
Control,-0.08122329239462531
Control,0.1056272097122975
Control,0.11706728374413156
Control,0.22393429385645602
Control,0.14308750722453478
Control,0.1005288249539957
Control,0.04790410077159887
Control,0.21678172518709962
Control,0.10260714648692237
Control,0.08222273221382728
Control,0.09007942756282844
Control,0.15962037261380269
Control,0.1751474911552608
Control,0.10908462670335803
Control,0.06853862470607694
Control,0.10318547626801558
Control,0.1473978258162704
Control,0.1369054096864086
Control,0.13147998347861842
Control,0.07989388511598178
Control,0.03705894475264959
Control,0.1385956984034084
Control,-0.10076504483935293
Control,0.11869486246087746
Control,0.2025233269269384
Control,0.1970086092401375
Control,0.12335554798577011
Control,0.09728889886617928
Control,0.05602066506244399
Control,-0.0029423403633611067
Control,0.0512003996964947
Control,0.07685947404923116
Control,0.08927442557038273
Control,0.10553528532934028
Control,0.027886519065270066
Control,0.064649575131394
Control,0.0826692980534523
Control,0.06909731871042493
Control,0.08501142157094266
Control,0.1260137990565603
Control,-0.19856454855622258
Control,0.24502820673594905
Control,0.37152599570743217
Model,0.7173277537027994
Model,0.14758470518267405
Model,0.13199084173211018
Model,0.19535971644730074
Model,0.18696095286936
Model,0.1083796512721773
Model,0.13360582167488277
Model,0.12277529942683682
Model,0.2320853018574624
Model,0.13589823963650094
Model,0.019280926306776663
Model,0.17814132920077014
Model,0.1666594196189872
Model,0.14782443001384588
Model,0.12095698717578729
Model,0.21459457520790057
Model,0.15334293834341808
Model,0.19342496934675982
Model,0.11502550544015808
Model,0.17183985890884992
Model,0.2252781549292132
Model,0.1602502297132443
Model,0.23111697875270606
Model,0.2142213066020272
Model,0.0
Model,0.24612912632018297
Model,0.17365010180733806
Model,0.2749384358575113
Model,0.21455843166895666
Model,0.2103909220849657
Model,0.2580721272008209
Model,0.24187874926904104
Model,0.2407701927151037
Model,0.23703424162423462
Model,0.2973316741760492
Model,0.24705347834090594
Model,0.425112247467041
Model,-0.04838045624187559
Model,0.0
Control,-0.08439992183825643
Control,0.25383823983778253
Control,0.3479570875997129
Control,0.28301308027477967
Control,0.19682145995838587
Control,0.23108548238258828
Control,0.09565477015049828
Control,0.06718511970811333
Control,0.15580930531755868
Control,0.06531227631712438
Control,0.17634879519442384
Control,0.21164238346593167
Control,0.10436791786249136
Control,0.14976365244641085
Control,0.06900740839300079
Control,0.2215002662229166
Control,0.07190669546425013
Control,0.19078367729250803
Control,0.23658115847852318
Control,0.14697497053156997
Control,0.07217292489282531
Control,0.014631831925050881
Control,0.24159820980850272
Control,0.09737780161924586
Control,0.1437074195846932
Control,0.039762427309816634
Control,0.262491156292068
Control,0.05605318859933875
Control,0.11811796059975258
Control,0.17174628214161003
Control,0.09421222644506091
Control,0.04549714454440368
Control,0.1710059719872448
Control,0.07947173418940243
Control,0.10625724901456629
Control,0.14412968201249207
Control,0.12926528778097435
